"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/31/2014","56","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/01/2014","42","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/02/2014","39","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/03/2014","49","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/04/2014","59","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/05/2014","60","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/06/2014","62","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"11/07/2014","35","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/08/2014","45","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/09/2014","67","PM2.5","Bristol","42-017-0012","AQS"
"11/10/2014","77","PM2.5","Bristol","42-017-0012","AQS"
"11/11/2014","66","PM2.5","Chester","42-045-0002","AQS"
"11/12/2014","57","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/13/2014","61","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"11/14/2014","57","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"11/15/2014","59","PM2.5","Bristol","42-017-0012","AQS"
"11/16/2014","87","PM2.5","Bristol","42-017-0012","AQS"
"11/17/2014","55","PM2.5","Chester","42-045-0002","AQS"
"11/18/2014","54","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"11/19/2014","54","PM2.5","North East Waste (NEW)","42-101-0048","AQS"
"11/20/2014","63","PM2.5","Route 9 Delaware City","10-003-1008","AQS"
"11/21/2014","58","PM2.5","Chester","42-045-0002","AQS"
"11/22/2014","81","PM2.5","Bristol","42-017-0012","AQS"
"11/23/2014","112","PM2.5","Route 9 Delaware City","10-003-1008","AQS"
"11/24/2014","62","PM2.5","Route 9 Delaware City","10-003-1008","AQS"
