"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/26/2016","50","Ozone","Not Available","45-091-8801","AQS"
"08/27/2016","49","Ozone","Crouse","37-109-0004","AQS"
"08/28/2016","50","Ozone","Rockwell","37-159-0021","AQS"
"08/29/2016","64","Ozone","YORK CMS","45-091-0006","AQS"
"08/30/2016","74","Ozone","Crouse","37-109-0004","AQS"
"08/31/2016","80","Ozone","Crouse","37-109-0004","AQS"
"09/01/2016","44","Ozone","Garinger High School","37-119-0041","AQS"
"09/02/2016","35","PM2.5","Garinger High School","37-119-0041","AQS"
"09/03/2016","46","Ozone","Not Available","45-091-8801","AQS"
"09/04/2016","46","Ozone","Crouse","37-109-0004","AQS"
"09/05/2016","50","Ozone","Rockwell","37-159-0021","AQS"
"09/06/2016","97","Ozone","Not Available","45-091-8801","AQS"
"09/07/2016","64","Ozone","University Meadows","37-119-0046","AQS"
"09/08/2016","90","Ozone","University Meadows","37-119-0046","AQS"
"09/09/2016","115","Ozone","University Meadows","37-119-0046","AQS"
"09/10/2016","90","Ozone","University Meadows","37-119-0046","AQS"
"09/11/2016","46","Ozone","Not Available","45-091-8801","AQS"
"09/12/2016","47","Ozone","Crouse","37-109-0004","AQS"
"09/13/2016","51","Ozone","Crouse","37-109-0004","AQS"
"09/14/2016","50","Ozone","Crouse","37-109-0004","AQS"
"09/15/2016","67","Ozone","Monroe School","37-179-0003","AQS"
"09/16/2016","51","PM2.5","Garinger High School","37-119-0041","AQS"
"09/17/2016","42","Ozone","Crouse","37-109-0004","AQS"
"09/18/2016","37","Ozone","Crouse","37-109-0004","AQS"
"09/19/2016","40","Ozone","Not Available","45-091-8801","AQS"
"09/20/2016","43","Ozone","Not Available","45-091-8801","AQS"
"09/21/2016","33","Ozone","Crouse","37-109-0004","AQS"
"09/22/2016","28","Ozone","Crouse","37-109-0004","AQS"
"09/23/2016","32","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"09/24/2016","84","Ozone","Garinger High School","37-119-0041","AQS"
"09/25/2016","58","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"09/26/2016","45","Ozone","Crouse","37-109-0004","AQS"
"09/27/2016","42","Ozone","University Meadows","37-119-0046","AQS"
"09/28/2016","44","Ozone","University Meadows","37-119-0046","AQS"
"09/29/2016","44","Ozone","Crouse","37-109-0004","AQS"
"09/30/2016","45","Ozone","Monroe School","37-179-0003","AQS"
"10/01/2016","58","Ozone","Rockwell","37-159-0021","AQS"
"10/02/2016","58","Ozone","University Meadows","37-119-0046","AQS"
"10/03/2016","48","Ozone","Monroe School","37-179-0003","AQS"
"10/04/2016","46","Ozone","Monroe School","37-179-0003","AQS"
"10/05/2016","37","Ozone","Crouse","37-109-0004","AQS"
"10/06/2016","39","Ozone","Not Available","45-091-8801","AQS"
"10/07/2016","25","Ozone","Monroe School","37-179-0003","AQS"
"10/08/2016","34","Ozone","Monroe School","37-179-0003","AQS"
"10/09/2016","36","Ozone","Monroe School","37-179-0003","AQS"
"10/10/2016","54","PM2.5","Garinger High School","37-119-0041","AQS"
"10/11/2016","42","Ozone","Rockwell","37-159-0021","AQS"
"10/12/2016","46","Ozone","Crouse","37-109-0004","AQS"
"10/13/2016","74","Ozone","Monroe School","37-179-0003","AQS"
"10/14/2016","37","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"10/15/2016","54","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"10/16/2016","47","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"10/17/2016","47","Ozone","Rockwell","37-159-0021","AQS"
"10/18/2016","42","Ozone","Crouse","37-109-0004","AQS"
"10/19/2016","45","Ozone","Monroe School","37-179-0003","AQS"
"10/20/2016","46","PM2.5","Garinger High School","37-119-0041","AQS"
"10/21/2016","38","PM2.5","OAKDALE","37-119-0043","AQS"
"10/22/2016","31","Ozone","Crouse","37-109-0004","AQS"
"10/23/2016","38","Ozone","Crouse","37-109-0004","AQS"
"10/24/2016","47","Ozone","Rockwell","37-159-0021","AQS"
"10/25/2016","42","Ozone","Crouse","37-109-0004","AQS"
"10/26/2016","44","Ozone","Crouse","37-109-0004","AQS"
"10/27/2016","44","Ozone","Crouse","37-109-0004","AQS"
"10/28/2016","55","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"10/29/2016","60","PM2.5","Garinger High School","37-119-0041","AQS"
"10/30/2016","60","PM2.5","Garinger High School","37-119-0041","AQS"
"10/31/2016","58","PM2.5","Garinger High School","37-119-0041","AQS"
"11/01/2016","55","PM2.5","Garinger High School","37-119-0041","AQS"
"11/02/2016","55","PM2.5","Garinger High School","37-119-0041","AQS"
"11/03/2016","56","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"11/04/2016","36","Ozone","Rockwell","37-159-0021","AQS"
"11/05/2016","50","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"11/06/2016","67","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"11/07/2016","39","PM2.5","Garinger High School","37-119-0041","AQS"
"11/08/2016","51","PM2.5","Garinger High School","37-119-0041","AQS"
"11/09/2016","47","PM2.5","Garinger High School","37-119-0041","AQS"
"11/10/2016","34","Ozone","Rockwell","37-159-0021","AQS"
"11/11/2016","78","PM2.5","Garinger High School","37-119-0041","AQS"
"11/12/2016","33","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"11/13/2016","51","PM2.5","Garinger High School","37-119-0041","AQS"
"11/14/2016","65","PM2.5","OAKDALE","37-119-0043","AQS"
"11/15/2016","82","PM2.5","Garinger High School","37-119-0041","AQS"
"11/16/2016","154","PM2.5","Garinger High School","37-119-0041","AQS"
"11/17/2016","99","PM2.5","Garinger High School","37-119-0041","AQS"
"11/18/2016","83","PM2.5","Garinger High School","37-119-0041","AQS"
"11/19/2016","58","PM2.5","Garinger High School","37-119-0041","AQS"
"11/20/2016","38","Ozone","YORK CMS","45-091-0006","AQS"
"11/21/2016","39","Ozone","YORK CMS","45-091-0006","AQS"
"11/22/2016","71","PM2.5","Garinger High School","37-119-0041","AQS"
"11/23/2016","59","PM2.5","Garinger High School","37-119-0041","AQS"
"11/24/2016","52","PM2.5","Garinger High School","37-119-0041","AQS"
"11/25/2016","55","PM2.5","Garinger High School","37-119-0041","AQS"
"11/26/2016","38","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"11/27/2016","56","PM2.5","Garinger High School","37-119-0041","AQS"
"11/28/2016","52","PM2.5","Garinger High School","37-119-0041","AQS"
"11/29/2016","30","Ozone","Garinger High School","37-119-0041","AQS"
"11/30/2016","26","Ozone","Rockwell","37-159-0021","AQS"
"12/01/2016","31","Ozone","Rockwell","37-159-0021","AQS"
"12/02/2016","31","PM2.5","Garinger High School","37-119-0041","AQS"
"12/03/2016","44","PM2.5","Garinger High School","37-119-0041","AQS"
"12/04/2016","36","PM2.5","Garinger High School","37-119-0041","AQS"
"12/05/2016","26","PM2.5","Garinger High School","37-119-0041","AQS"
"12/06/2016","23","Ozone","Garinger High School","37-119-0041","AQS"
"12/07/2016","38","PM2.5","Garinger High School","37-119-0041","AQS"
"12/08/2016","31","PM2.5","Garinger High School","37-119-0041","AQS"
"12/09/2016","27","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"12/10/2016","58","PM2.5","Garinger High School","37-119-0041","AQS"
"12/11/2016","71","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"12/12/2016","62","PM2.5","Garinger High School","37-119-0041","AQS"
"12/13/2016","49","PM2.5","Garinger High School","37-119-0041","AQS"
"12/14/2016","55","PM2.5","Garinger High School","37-119-0041","AQS"
"12/15/2016","36","Ozone","Rockwell","37-159-0021","AQS"
"12/16/2016","30","Ozone","Rockwell","37-159-0021","AQS"
"12/17/2016","64","PM2.5","Garinger High School","37-119-0041","AQS"
"12/18/2016","40","PM2.5","Garinger High School","37-119-0041","AQS"
"12/19/2016","27","PM2.5","Garinger High School","37-119-0041","AQS"
"12/20/2016","48","PM2.5","Garinger High School","37-119-0041","AQS"
"12/21/2016","57","PM2.5","Garinger High School","37-119-0041","AQS"
"12/22/2016","43","PM2.5","Garinger High School","37-119-0041","AQS"
"12/23/2016","42","PM2.5","Garinger High School","37-119-0041","AQS"
"12/24/2016","63","PM2.5","Garinger High School","37-119-0041","AQS"
"12/25/2016","63","PM2.5","Garinger High School","37-119-0041","AQS"
"12/26/2016","41","PM2.5","Garinger High School","37-119-0041","AQS"
"12/27/2016","36","PM2.5","Garinger High School","37-119-0041","AQS"
"12/28/2016","36","Ozone","Rockwell","37-159-0021","AQS"
"12/29/2016","37","Ozone","Rockwell","37-159-0021","AQS"
"12/30/2016","33","Ozone","Garinger High School","37-119-0041","AQS"
"12/31/2016","46","PM2.5","Garinger High School","37-119-0041","AQS"
"01/01/2017","45","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"01/02/2017","22","PM2.5","Garinger High School","37-119-0041","AQS"
"01/03/2017","22","PM2.5","Garinger High School","37-119-0041","AQS"
"01/04/2017","25","PM2.5","Garinger High School","37-119-0041","AQS"
"01/05/2017","30","PM2.5","Garinger High School","37-119-0041","AQS"
"01/06/2017","38","PM2.5","Garinger High School","37-119-0041","AQS"
"01/07/2017","33","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"01/08/2017","38","PM2.5","Garinger High School","37-119-0041","AQS"
"01/09/2017","54","PM2.5","Garinger High School","37-119-0041","AQS"
"01/10/2017","46","PM2.5","Garinger High School","37-119-0041","AQS"
"01/11/2017","40","PM2.5","Garinger High School","37-119-0041","AQS"
"01/12/2017","34","Ozone","Garinger High School","37-119-0041","AQS"
"01/13/2017","46","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
