"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/11/2022","74","Ozone","FALCON FIELD","04-013-1010","AQS"
"05/12/2022","126","Ozone","FALCON FIELD","04-013-1010","AQS"
"05/13/2022","119","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"05/14/2022","130","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/15/2022","101","Ozone","FALCON FIELD","04-013-1010","AQS"
"05/16/2022","78","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/17/2022","84","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"05/18/2022","67","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/19/2022","76","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/20/2022","140","PM10","STANFIELD","04-021-3008","AQS"
"05/21/2022","66","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/22/2022","72","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/23/2022","65","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"05/24/2022","84","Ozone","MESA","04-013-1003","AQS"
"05/25/2022","101","Ozone","MESA","04-013-1003","AQS"
"05/26/2022","101","Ozone","MESA","04-013-1003","AQS"
"05/27/2022","93","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/28/2022","81","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"05/29/2022","93","PM10","BUCKEYE","04-013-4011","AQS"
"05/30/2022","71","Ozone","MESA","04-013-1003","AQS"
"05/31/2022","100","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"06/01/2022","264","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/02/2022","261","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/03/2022","234","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/04/2022","232","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/05/2022","219","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/06/2022","220","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS"
"06/07/2022","93","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/08/2022","86","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/09/2022","97","Ozone","MESA","04-013-1003","AQS"
"06/10/2022","80","Ozone","MESA","04-013-1003","AQS"
"06/11/2022","106","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/12/2022","73","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/13/2022","80","PM10","WEST 43RD AVENUE","04-013-4009","AQS"
"06/14/2022","64","Ozone","FOUNTAIN HILLS","04-013-9704","AQS"
"06/15/2022","154","Ozone","GLENDALE","04-013-2001","AQS"
"06/16/2022","156","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"06/17/2022","86","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/18/2022","74","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/19/2022","56","PM2.5","JLG SUPERSITE","04-013-9997","AQS"
"06/20/2022","80","Ozone","High School Air Monitoring Station","04-013-7024","AQS"
"06/21/2022","131","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"06/22/2022","112","Ozone","WEST PHOENIX","04-013-0019","AQS"
"06/23/2022","93","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"06/24/2022","159","PM10","Casa Blanca Air Monitoring Site","04-021-7004","AQS"
"06/25/2022","84","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"06/26/2022","74","PM10","MARICOPA 1405","04-021-3016","AQS"
"06/27/2022","115","Ozone","DYSART","04-013-4010","AQS"
"06/28/2022","108","Ozone","GLENDALE","04-013-2001","AQS"
"06/29/2022","101","Ozone","CAVE CREEK","04-013-4008","AQS"
"06/30/2022","108","Ozone","MESA","04-013-1003","AQS"
"07/01/2022","58","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"07/02/2022","72","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/03/2022","50","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/04/2022","65","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/05/2022","64","Ozone","CAVE CREEK","04-013-4008","AQS"
"07/06/2022","55","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/07/2022","89","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/08/2022","97","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"07/09/2022","129","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/10/2022","112","Ozone","WEST PHOENIX","04-013-0019","AQS"
"07/11/2022","84","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"07/12/2022","83","PM10","HIDDEN VALLEY","04-021-3015","AQS"
"07/13/2022","142","PM10","STANFIELD","04-021-3008","AQS"
"07/14/2022","119","Ozone","Sacaton Air Monitoring Site","04-021-7001","AQS"
