"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/04/2018","51","PM2.5","Near Road","47-037-0040","AQS"
"02/05/2018","38","PM2.5","Near Road","47-037-0040","AQS"
"02/06/2018","52","PM2.5","Near Road","47-037-0040","AQS"
"02/07/2018","57","PM2.5","Near Road","47-037-0040","AQS"
"02/08/2018","64","PM2.5","Near Road","47-037-0040","AQS"
"02/09/2018","41","PM2.5","Near Road","47-037-0040","AQS"
"02/10/2018","25","PM2.5","Near Road","47-037-0040","AQS"
"02/11/2018","28","PM2.5","Lockeland","47-037-0023","AQS"
"02/12/2018","40","PM2.5","Near Road","47-037-0040","AQS"
"02/13/2018","35","PM2.5","Lockeland","47-037-0023","AQS"
"02/14/2018","23","PM2.5","Lockeland","47-037-0023","AQS"
"02/15/2018","33","PM2.5","Lockeland","47-037-0023","AQS"
"02/16/2018","47","PM2.5","Near Road","47-037-0040","AQS"
"02/17/2018","35","PM2.5","Near Road","47-037-0040","AQS"
"02/18/2018","32","NO2","Near Road","47-037-0040","AQS"
"02/19/2018","40","PM2.5","Lockeland","47-037-0023","AQS"
"02/20/2018","45","PM2.5","Lockeland","47-037-0023","AQS"
"02/21/2018","20","PM2.5","Lockeland","47-037-0023","AQS"
"02/22/2018","21","PM2.5","Lockeland","47-037-0023","AQS"
"02/23/2018","45","PM2.5","Lockeland","47-037-0023","AQS"
"02/24/2018","29","PM2.5","Lockeland","47-037-0023","AQS"
"02/25/2018","21","PM2.5","Lockeland","47-037-0023","AQS"
"02/26/2018","43","NO2","Near Road","47-037-0040","AQS"
"02/27/2018","37","PM2.5","Near Road","47-037-0040","AQS"
"02/28/2018","31","Ozone","East Health","47-037-0011","AQS"
"03/01/2018","40","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/02/2018","42","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/03/2018","42","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/04/2018","46","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/05/2018","41","PM2.5","Lockeland","47-037-0023","AQS"
"03/06/2018","44","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"03/07/2018","37","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/08/2018","43","NO2","Near Road","47-037-0040","AQS"
"03/09/2018","50","PM2.5","Lockeland","47-037-0023","AQS"
"03/10/2018","61","PM2.5","Lockeland","47-037-0023","AQS"
"03/11/2018","48","PM2.5","Lockeland","47-037-0023","AQS"
"03/12/2018","43","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/13/2018","44","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/14/2018","44","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"03/15/2018","58","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"03/16/2018","67","Ozone","Percy Priest Dam","47-037-0026","AQS"
"03/17/2018","44","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/18/2018","56","PM2.5","Near Road","47-037-0040","AQS"
"03/19/2018","48","PM2.5","Near Road","47-037-0040","AQS"
"03/20/2018","32","PM2.5","Near Road","47-037-0040","AQS"
"03/21/2018","44","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/22/2018","46","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/23/2018","45","Ozone","Percy Priest Dam","47-037-0026","AQS"
"03/24/2018","41","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/25/2018","31","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"03/26/2018","41","Ozone","Percy Priest Dam","47-037-0026","AQS"
"03/27/2018","41","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"03/28/2018","41","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/29/2018","42","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/30/2018","42","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"03/31/2018","45","Ozone","Percy Priest Dam","47-037-0026","AQS"
"04/01/2018","38","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"04/02/2018","39","PM2.5","Columbia Pm 2.5","47-119-2007","AQS"
"04/03/2018","44","PM2.5","Lockeland","47-037-0023","AQS"
"04/04/2018","43","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/05/2018","46","Ozone","Percy Priest Dam","47-037-0026","AQS"
"04/06/2018","43","PM2.5","Near Road","47-037-0040","AQS"
"04/07/2018","43","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/08/2018","43","Ozone","Percy Priest Dam","47-037-0026","AQS"
"04/09/2018","49","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"04/10/2018","51","PM2.5","Lockeland","47-037-0023","AQS"
"04/11/2018","50","PM2.5","Lockeland","47-037-0023","AQS"
"04/12/2018","61","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/13/2018","64","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"04/14/2018","43","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/15/2018","34","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"04/16/2018","41","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/17/2018","64","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/18/2018","50","PM2.5","Lockeland","47-037-0023","AQS"
"04/19/2018","42","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"04/20/2018","54","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/21/2018","77","Ozone","Cedars of Lebanon Ozone Monitor","47-189-0103","AQS"
"04/22/2018","48","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/23/2018","45","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/24/2018","40","Ozone","FAIRVIEW MIDDLE SCHOOL ozone monitor","47-187-0106","AQS"
"04/25/2018","105","Ozone","Hendersonville Ozone Site at Old Hickory Dam","47-165-0007","AQS"
"04/26/2018","45","PM2.5","Lockeland","47-037-0023","AQS"
